Region,Country,Community Name,Population,Water Source Type,Water Availability (liters per capita per day),Number of Functional Water Points,Number of Non-Functional Water Points,Sanitation Facility Type,Annual Maintenance Cost (USD),Government Support,NGO Support,Average Distance to Water Source (km),Waterborne Diseases Incidence Rate (%),Community Satisfaction Rate (%)
Northern Malawi,Malawi,Northern Community 221,4868,Well,73.6,11,8,Toilets,41366,No,No,5.2,8.0,77.0
Central Senegal,Senegal,Central Community 222,10107,Well,36.8,39,2,Toilets,7584,Yes,No,6.4,6.0,75.2
Central Senegal,Senegal,Central Community 223,6261,Borehole,16.3,14,7,Latrines,23061,Yes,Yes,6.2,27.5,50.8
Northern Malawi,Malawi,Northern Community 224,14379,Borehole,38.1,11,5,Toilets,29640,No,Yes,9.9,9.5,83.1
Western Uganda,Uganda,Western Community 225,11935,Borehole,13.9,48,8,Latrines,39874,Yes,No,3.0,13.9,94.5
Western Kenya,Kenya,Western Community 226,14068,Well,58.0,35,2,Toilets,22633,No,Yes,1.6,3.5,67.0
Western Kenya,Kenya,Western Community 227,13715,Well,38.9,23,1,Latrines,5485,Yes,Yes,7.1,11.9,80.2
Eastern Ethiopia,Ethiopia,Eastern Community 228,5887,Well,83.9,15,1,Latrines,10893,Yes,No,8.0,4.9,57.7
Western Kenya,Kenya,Western Community 229,14446,Borehole,78.5,40,0,Latrines,32165,No,No,0.7,9.5,67.5
Eastern Rwanda,Rwanda,Eastern Community 230,2205,Well,73.0,36,8,Latrines,19393,No,Yes,8.2,3.8,86.9
Western Uganda,Uganda,Western Community 231,7228,Well,79.0,26,9,Toilets,44800,No,No,1.4,6.1,77.1
Northern Ghana,Ghana,Northern Community 232,10028,Borehole,92.1,47,8,Latrines,49502,Yes,Yes,8.9,0.7,74.2
Northern Malawi,Malawi,Northern Community 233,3621,River,97.6,8,3,Toilets,29470,Yes,Yes,2.9,0.8,79.4
Southern Zambia,Zambia,Southern Community 234,4611,Well,22.5,45,7,Latrines,49651,No,Yes,1.4,10.8,85.5
Western Kenya,Kenya,Western Community 235,3605,Well,85.0,29,6,Latrines,6274,No,Yes,5.5,25.3,58.2
Central Senegal,Senegal,Central Community 236,13958,Borehole,57.5,32,6,Latrines,25801,Yes,No,7.9,1.6,65.6
Eastern Ethiopia,Ethiopia,Eastern Community 237,13003,River,34.6,29,4,Toilets,16644,No,No,0.9,0.1,51.2
Dar es Salaam,Tanzania,Dar Community 238,13372,River,41.9,21,6,Latrines,22065,Yes,Yes,7.5,5.9,79.5
Western Kenya,Kenya,Western Community 239,12367,River,90.3,27,8,Toilets,41859,No,No,9.7,7.3,68.4
Western Kenya,Kenya,Western Community 240,13754,Borehole,64.1,34,10,Toilets,45623,Yes,No,8.2,17.9,51.9
Dar es Salaam,Tanzania,Dar Community 241,3111,Well,77.0,22,1,Toilets,49247,No,Yes,7.4,26.4,89.5
Western Uganda,Uganda,Western Community 242,4820,Borehole,41.4,39,0,Latrines,37575,Yes,Yes,4.7,27.0,59.6
Central Senegal,Senegal,Central Community 243,4285,River,76.6,36,1,Toilets,47705,No,Yes,2.5,28.6,93.2
Northern Ghana,Ghana,Northern Community 244,14775,River,16.2,8,10,Latrines,49376,Yes,Yes,8.8,28.9,83.6
Southern Zambia,Zambia,Southern Community 245,7393,Borehole,47.1,6,0,Latrines,10991,Yes,Yes,4.3,5.2,71.8
Dar es Salaam,Tanzania,Dar Community 246,8804,Well,33.0,45,0,Latrines,37650,No,Yes,1.2,22.1,62.7
Central Senegal,Senegal,Central Community 247,10980,River,52.2,28,3,Toilets,16652,Yes,No,4.0,18.1,55.6
Dar es Salaam,Tanzania,Dar Community 248,1085,Well,55.7,16,7,Toilets,36569,No,No,9.5,11.2,81.9
Central Senegal,Senegal,Central Community 249,6759,Borehole,57.8,34,1,Toilets,37929,No,No,3.3,16.2,94.7
Northern Ghana,Ghana,Northern Community 250,2027,River,11.4,33,3,Toilets,48182,No,No,4.4,24.4,87.2
Eastern Nigeria,Nigeria,Eastern Community 251,6728,River,39.8,46,10,Toilets,46683,Yes,Yes,1.4,0.2,90.0
Eastern Ethiopia,Ethiopia,Eastern Community 252,4862,River,10.3,4,2,Toilets,4602,No,Yes,2.5,17.7,66.5
Southern Zambia,Zambia,Southern Community 253,9163,Borehole,71.7,37,4,Toilets,4511,No,Yes,5.3,26.9,64.9
Western Kenya,Kenya,Western Community 254,10413,River,93.4,49,6,Toilets,39253,Yes,No,8.3,26.1,53.5
Western Uganda,Uganda,Western Community 255,6349,Well,89.6,5,2,Latrines,30987,Yes,Yes,1.7,2.9,63.2
Eastern Ethiopia,Ethiopia,Eastern Community 256,10525,Borehole,90.2,37,1,Latrines,36805,No,No,5.0,2.2,68.1
Western Uganda,Uganda,Western Community 257,3831,Borehole,53.1,2,5,Latrines,16199,No,Yes,8.0,2.4,81.4
Dar es Salaam,Tanzania,Dar Community 258,8416,Borehole,34.3,29,1,Toilets,42106,No,Yes,5.2,19.7,78.1
Northern Malawi,Malawi,Northern Community 259,14585,River,23.1,14,6,Toilets,37922,Yes,No,1.5,10.7,65.0
Northern Malawi,Malawi,Northern Community 260,10831,Borehole,53.1,2,5,Latrines,27188,Yes,No,3.5,21.7,58.8
Northern Malawi,Malawi,Northern Community 261,7739,River,89.0,4,3,Toilets,45624,Yes,Yes,2.7,26.0,53.8
Western Kenya,Kenya,Western Community 262,8135,Borehole,75.6,19,7,Latrines,18921,Yes,Yes,7.5,10.3,86.5
Southern Zambia,Zambia,Southern Community 263,2628,Borehole,22.6,27,8,Latrines,29256,No,Yes,6.7,16.4,81.2
Dar es Salaam,Tanzania,Dar Community 264,14619,Well,30.0,34,2,Toilets,38098,No,No,4.9,22.9,87.6
Dar es Salaam,Tanzania,Dar Community 265,13615,Well,43.4,32,2,Toilets,15807,Yes,No,3.2,11.4,85.8
Northern Malawi,Malawi,Northern Community 266,4235,River,93.0,15,9,Toilets,7703,No,No,6.7,24.0,59.9
Eastern Ethiopia,Ethiopia,Eastern Community 267,6150,Borehole,61.1,42,1,Latrines,43460,Yes,Yes,5.7,25.9,92.0
Eastern Ethiopia,Ethiopia,Eastern Community 268,9903,Borehole,49.5,10,7,Latrines,33649,Yes,No,2.9,5.4,57.9
Western Kenya,Kenya,Western Community 269,2984,Well,19.1,19,5,Toilets,10169,Yes,Yes,9.6,13.4,61.7
Western Kenya,Kenya,Western Community 270,2857,River,81.7,21,2,Toilets,41286,Yes,Yes,9.8,6.0,72.6
Eastern Ethiopia,Ethiopia,Eastern Community 271,6087,Borehole,48.0,17,10,Toilets,22200,No,Yes,3.2,10.4,53.9
Eastern Rwanda,Rwanda,Eastern Community 272,12896,Borehole,58.9,26,4,Latrines,13177,No,No,8.8,28.0,92.9
Dar es Salaam,Tanzania,Dar Community 273,12155,River,95.7,27,9,Toilets,44874,Yes,Yes,5.0,26.2,77.6
Central Senegal,Senegal,Central Community 274,2037,Borehole,57.8,32,10,Latrines,23494,Yes,No,3.1,8.4,92.6
Northern Malawi,Malawi,Northern Community 275,4216,River,65.3,9,8,Latrines,5558,No,No,5.8,11.0,79.4
Eastern Nigeria,Nigeria,Eastern Community 276,3247,Well,14.2,11,8,Toilets,8915,No,No,1.3,23.9,87.8
Central Senegal,Senegal,Central Community 277,12409,Well,76.5,41,8,Latrines,7359,No,Yes,1.0,24.7,54.3
Eastern Ethiopia,Ethiopia,Eastern Community 278,4483,Well,30.3,38,2,Latrines,38305,Yes,Yes,8.3,19.5,88.0
Dar es Salaam,Tanzania,Dar Community 279,5774,River,30.1,13,2,Toilets,27816,No,No,7.4,25.5,51.5
Central Senegal,Senegal,Central Community 280,3735,River,34.4,30,5,Toilets,20909,Yes,No,4.2,8.0,58.3
Southern Zambia,Zambia,Southern Community 281,6412,Well,56.6,23,3,Toilets,30558,No,Yes,0.7,18.9,62.3
Western Kenya,Kenya,Western Community 282,1308,Well,53.2,16,9,Latrines,43903,No,Yes,5.2,20.3,77.8
Eastern Rwanda,Rwanda,Eastern Community 283,873,Well,15.9,44,0,Toilets,23203,No,No,4.8,26.5,94.8
Eastern Rwanda,Rwanda,Eastern Community 284,14720,River,59.3,30,0,Toilets,35589,Yes,Yes,2.4,29.5,66.4
Southern Zambia,Zambia,Southern Community 285,13363,River,37.6,3,2,Latrines,22585,No,Yes,6.0,21.7,65.9
Central Senegal,Senegal,Central Community 286,1477,River,70.5,35,3,Toilets,16167,No,Yes,1.5,19.2,61.6
Eastern Rwanda,Rwanda,Eastern Community 287,6244,Well,60.1,25,0,Latrines,18759,Yes,Yes,0.6,27.2,93.8
Eastern Ethiopia,Ethiopia,Eastern Community 288,10707,Well,49.3,42,10,Latrines,46988,No,Yes,1.4,10.5,73.0
Northern Malawi,Malawi,Northern Community 289,13242,Well,91.8,36,9,Toilets,24190,Yes,No,3.6,28.2,57.1
Southern Zambia,Zambia,Southern Community 290,1880,Borehole,78.4,29,9,Toilets,28455,No,Yes,3.3,9.2,74.2
Eastern Ethiopia,Ethiopia,Eastern Community 291,13221,River,73.4,3,0,Toilets,40515,Yes,Yes,6.2,10.2,69.8
Dar es Salaam,Tanzania,Dar Community 292,14564,Borehole,52.8,34,10,Toilets,14365,No,Yes,8.3,16.6,94.9
Western Kenya,Kenya,Western Community 293,7827,Borehole,20.8,49,7,Toilets,39068,Yes,No,6.2,25.1,57.1
Southern Zambia,Zambia,Southern Community 294,3997,Borehole,75.2,41,1,Toilets,20425,Yes,Yes,4.6,23.4,69.4
Western Uganda,Uganda,Western Community 295,8772,River,81.3,50,3,Latrines,12144,Yes,Yes,8.5,8.8,76.3
Southern Zambia,Zambia,Southern Community 296,6057,River,70.6,39,1,Latrines,20129,No,Yes,0.5,11.8,53.1
Dar es Salaam,Tanzania,Dar Community 297,9051,Well,78.6,39,0,Toilets,12562,Yes,No,5.8,12.2,61.3
Eastern Nigeria,Nigeria,Eastern Community 298,4643,River,61.1,47,6,Toilets,47977,Yes,Yes,8.0,12.6,89.4
Northern Malawi,Malawi,Northern Community 299,14815,Well,51.6,14,9,Latrines,4659,No,Yes,9.3,22.5,90.0
Eastern Nigeria,Nigeria,Eastern Community 300,1751,River,68.0,41,9,Toilets,13998,No,No,8.8,20.6,66.0
Northern Ghana,Ghana,Northern Community 301,1822,River,12.2,39,2,Latrines,37123,No,Yes,9.2,9.3,87.2
Northern Ghana,Ghana,Northern Community 302,14611,River,72.4,14,0,Toilets,49710,No,No,6.2,10.2,81.8
Eastern Nigeria,Nigeria,Eastern Community 303,12526,Well,85.7,32,8,Toilets,16832,No,Yes,1.2,9.2,78.2
Northern Ghana,Ghana,Northern Community 304,5667,Well,79.3,5,9,Toilets,14718,Yes,Yes,9.1,22.2,58.5
Northern Malawi,Malawi,Northern Community 305,9335,River,15.9,13,2,Toilets,12343,Yes,Yes,2.2,14.2,56.7
Eastern Rwanda,Rwanda,Eastern Community 306,14877,River,60.9,33,3,Latrines,31701,No,No,6.3,20.3,94.7
Dar es Salaam,Tanzania,Dar Community 307,6700,River,13.7,20,0,Latrines,17325,Yes,Yes,2.8,20.6,88.0
Northern Malawi,Malawi,Northern Community 308,8541,Well,47.0,29,2,Toilets,28276,Yes,Yes,1.8,29.2,81.4
Southern Zambia,Zambia,Southern Community 309,2891,Borehole,54.1,19,1,Toilets,40016,Yes,Yes,3.2,25.0,75.1
Western Uganda,Uganda,Western Community 310,1680,Well,37.8,18,1,Latrines,14836,No,No,7.7,20.6,74.5
Eastern Ethiopia,Ethiopia,Eastern Community 311,3281,Well,58.4,38,0,Latrines,13108,Yes,Yes,0.8,23.3,55.9
Western Kenya,Kenya,Western Community 312,910,Borehole,78.3,12,7,Toilets,13741,Yes,No,7.9,14.3,85.9
Eastern Ethiopia,Ethiopia,Eastern Community 313,14505,River,50.8,32,6,Toilets,31208,Yes,Yes,5.9,2.9,84.1
Eastern Ethiopia,Ethiopia,Eastern Community 314,9690,River,64.0,24,6,Latrines,16726,Yes,No,8.3,18.0,76.9
Eastern Nigeria,Nigeria,Eastern Community 315,1347,River,75.9,41,8,Toilets,38590,No,No,1.5,18.2,54.2
Eastern Nigeria,Nigeria,Eastern Community 316,14256,Well,81.4,15,6,Latrines,4294,Yes,Yes,3.6,4.3,72.5
Northern Malawi,Malawi,Northern Community 317,730,River,91.4,38,2,Toilets,7690,Yes,Yes,2.8,28.7,59.4
Central Senegal,Senegal,Central Community 318,4486,Well,59.7,30,4,Latrines,21715,Yes,No,8.7,10.5,90.7
Central Senegal,Senegal,Central Community 319,13546,River,35.2,39,1,Toilets,22096,No,Yes,1.0,27.8,64.8
Eastern Nigeria,Nigeria,Eastern Community 320,7139,Borehole,57.4,14,0,Toilets,24595,Yes,No,9.6,6.3,82.7
Eastern Rwanda,Rwanda,Eastern Community 321,3444,Borehole,48.7,17,4,Latrines,38213,No,No,5.8,5.1,81.5
Western Kenya,Kenya,Western Community 322,14158,Borehole,35.5,13,5,Latrines,25569,No,Yes,1.4,12.7,88.7
Central Senegal,Senegal,Central Community 323,5519,River,19.2,21,1,Toilets,24146,No,Yes,4.7,12.3,53.5
Western Uganda,Uganda,Western Community 324,854,River,64.3,44,0,Toilets,41078,No,No,1.2,27.4,65.0
Eastern Ethiopia,Ethiopia,Eastern Community 325,12070,Well,84.6,43,7,Latrines,5093,Yes,Yes,8.5,24.0,74.0
Eastern Rwanda,Rwanda,Eastern Community 326,2056,Well,18.2,33,1,Toilets,35267,Yes,Yes,8.5,24.0,74.7
Western Uganda,Uganda,Western Community 327,2412,Borehole,18.5,20,1,Latrines,15527,No,No,4.3,6.2,79.1
Northern Ghana,Ghana,Northern Community 328,3845,River,48.9,43,9,Toilets,10077,No,No,3.8,20.6,53.9
Dar es Salaam,Tanzania,Dar Community 329,982,River,31.1,20,9,Toilets,49959,No,No,1.9,3.8,65.9
Dar es Salaam,Tanzania,Dar Community 330,4680,Well,84.4,31,2,Toilets,44455,No,No,2.5,6.8,55.2
Southern Zambia,Zambia,Southern Community 331,13177,Borehole,39.5,22,2,Toilets,33632,No,Yes,6.0,28.2,74.2
Northern Ghana,Ghana,Northern Community 332,13630,Borehole,56.7,48,1,Toilets,28200,Yes,Yes,8.3,6.0,93.8
Western Kenya,Kenya,Western Community 333,14294,River,52.0,33,8,Latrines,24144,Yes,No,4.5,8.2,72.5
Western Uganda,Uganda,Western Community 334,12769,Well,91.3,23,6,Latrines,45696,No,No,5.6,2.3,77.6
Western Kenya,Kenya,Western Community 335,11231,Borehole,29.0,36,9,Latrines,36343,Yes,No,0.8,8.1,80.6
Northern Ghana,Ghana,Northern Community 336,12520,Well,61.4,48,3,Toilets,38767,No,No,2.8,8.5,75.6
Western Kenya,Kenya,Western Community 337,12656,River,88.4,6,0,Latrines,29466,Yes,No,6.3,6.9,93.3
Northern Malawi,Malawi,Northern Community 338,799,Well,31.5,15,10,Toilets,34216,No,Yes,8.4,7.6,68.9
Northern Malawi,Malawi,Northern Community 339,13113,Well,56.6,23,8,Toilets,48222,Yes,No,1.0,18.0,86.6
Eastern Ethiopia,Ethiopia,Eastern Community 340,9138,Borehole,17.2,45,6,Latrines,41482,Yes,Yes,0.9,9.7,73.5
Southern Zambia,Zambia,Southern Community 341,2468,Borehole,70.8,46,9,Toilets,7927,No,No,1.5,9.6,64.1
Eastern Rwanda,Rwanda,Eastern Community 342,8950,Borehole,96.3,46,3,Latrines,13023,No,Yes,4.7,28.9,59.6
Southern Zambia,Zambia,Southern Community 343,3258,Borehole,57.2,49,4,Toilets,44642,No,Yes,5.6,0.1,59.0
Western Kenya,Kenya,Western Community 344,535,Well,92.2,20,3,Latrines,45371,Yes,No,4.9,16.1,65.9
Eastern Nigeria,Nigeria,Eastern Community 345,14896,Borehole,49.0,9,6,Toilets,3767,Yes,No,7.2,25.6,85.1
Dar es Salaam,Tanzania,Dar Community 346,9911,Borehole,11.9,21,7,Latrines,28277,Yes,No,3.6,25.3,67.4
Eastern Ethiopia,Ethiopia,Eastern Community 347,12660,Borehole,19.1,34,1,Toilets,24362,No,No,4.0,4.6,93.1
Central Senegal,Senegal,Central Community 348,12962,Borehole,73.9,30,0,Toilets,36536,No,No,2.7,21.1,91.5
Western Uganda,Uganda,Western Community 349,5286,Borehole,65.0,12,2,Latrines,7831,Yes,No,0.6,29.5,57.0
Eastern Ethiopia,Ethiopia,Eastern Community 350,13839,River,41.3,1,7,Toilets,44639,Yes,Yes,2.6,17.1,67.7
Western Kenya,Kenya,Western Community 351,5738,River,15.4,30,1,Latrines,18049,Yes,No,4.0,4.0,62.4
Eastern Nigeria,Nigeria,Eastern Community 352,9924,Borehole,61.1,29,0,Latrines,22424,Yes,No,7.4,4.2,51.3
Eastern Nigeria,Nigeria,Eastern Community 353,8527,Well,33.7,36,1,Latrines,46499,Yes,No,8.2,26.2,53.1
Western Uganda,Uganda,Western Community 354,13309,Borehole,91.0,8,0,Latrines,36420,No,No,8.8,8.2,60.4
Northern Ghana,Ghana,Northern Community 355,6038,River,35.3,32,1,Latrines,31694,Yes,Yes,4.1,17.8,73.7
Central Senegal,Senegal,Central Community 356,5290,River,28.6,18,3,Latrines,42637,No,No,8.7,17.0,83.4
Dar es Salaam,Tanzania,Dar Community 357,8229,Borehole,61.0,5,0,Toilets,7444,No,No,5.6,12.4,90.4
Eastern Rwanda,Rwanda,Eastern Community 358,14077,Borehole,97.4,35,10,Toilets,28056,No,Yes,5.0,3.5,88.6
Western Kenya,Kenya,Western Community 359,10736,Well,27.1,12,1,Toilets,45124,No,No,1.5,17.8,51.1
Eastern Nigeria,Nigeria,Eastern Community 360,11724,Well,13.6,10,6,Toilets,46659,Yes,Yes,6.8,10.3,50.9
Northern Malawi,Malawi,Northern Community 361,8027,Borehole,67.9,10,3,Latrines,26529,No,Yes,6.9,8.2,64.7
Eastern Nigeria,Nigeria,Eastern Community 362,837,River,11.3,6,3,Latrines,42352,No,Yes,0.7,4.1,53.5
Northern Malawi,Malawi,Northern Community 363,6148,River,78.6,26,0,Latrines,31757,Yes,Yes,1.3,23.4,67.3
Eastern Nigeria,Nigeria,Eastern Community 364,14504,Well,73.9,6,9,Latrines,18231,Yes,Yes,8.6,10.7,64.2
Northern Malawi,Malawi,Northern Community 365,7957,River,16.1,46,10,Toilets,32022,No,No,2.1,29.1,61.3
Western Kenya,Kenya,Western Community 366,4000,River,22.6,21,6,Latrines,10156,Yes,Yes,6.2,12.2,54.7
Southern Zambia,Zambia,Southern Community 367,3963,Well,40.7,9,7,Toilets,12486,Yes,Yes,8.3,11.1,89.1
Western Uganda,Uganda,Western Community 368,8180,Borehole,23.1,26,5,Latrines,20178,Yes,No,2.8,11.8,62.2
Western Uganda,Uganda,Western Community 369,12536,Borehole,85.2,29,6,Toilets,24312,No,Yes,1.5,6.0,63.2
Northern Malawi,Malawi,Northern Community 370,13839,River,39.2,3,2,Latrines,16419,No,Yes,3.0,17.0,65.1
Western Kenya,Kenya,Western Community 371,1440,River,51.0,32,0,Toilets,30255,Yes,No,4.9,9.7,59.7
Eastern Nigeria,Nigeria,Eastern Community 372,12067,Well,26.8,7,9,Toilets,17208,Yes,Yes,8.9,8.6,89.6
Eastern Nigeria,Nigeria,Eastern Community 373,7835,Well,56.3,18,2,Latrines,43619,No,No,6.9,21.8,61.9
Western Kenya,Kenya,Western Community 374,1841,Borehole,79.1,36,4,Latrines,33085,Yes,No,2.3,0.6,69.2
Eastern Ethiopia,Ethiopia,Eastern Community 375,6854,Well,92.4,11,5,Latrines,29320,No,Yes,5.0,11.5,68.4
Northern Ghana,Ghana,Northern Community 376,5359,Well,89.8,22,9,Toilets,36799,Yes,No,4.7,13.4,79.4
Eastern Rwanda,Rwanda,Eastern Community 377,11530,Well,45.2,32,5,Toilets,42022,Yes,Yes,7.1,5.0,65.1
Western Uganda,Uganda,Western Community 378,13070,Well,60.4,7,0,Toilets,9166,No,Yes,1.2,24.4,79.5
Western Uganda,Uganda,Western Community 379,14788,Well,68.3,11,3,Latrines,31487,No,No,1.8,26.1,70.9
Southern Zambia,Zambia,Southern Community 380,1358,Borehole,99.9,7,1,Latrines,29274,Yes,Yes,9.9,29.9,93.1
Dar es Salaam,Tanzania,Dar Community 381,12829,River,82.6,22,0,Latrines,20104,No,Yes,9.6,12.7,71.7
Western Kenya,Kenya,Western Community 382,2304,Well,59.1,15,1,Latrines,18677,No,No,4.8,10.5,63.3
Central Senegal,Senegal,Central Community 383,4461,Borehole,97.5,10,1,Toilets,1325,No,Yes,6.3,11.2,72.3
Northern Ghana,Ghana,Northern Community 384,4166,River,82.0,15,10,Toilets,44991,No,No,9.8,4.8,51.2
Western Uganda,Uganda,Western Community 385,7065,River,99.4,22,6,Latrines,8931,Yes,No,8.6,11.4,83.3
Western Uganda,Uganda,Western Community 386,13082,River,78.1,7,4,Toilets,17603,Yes,No,8.1,14.3,53.5
Dar es Salaam,Tanzania,Dar Community 387,1117,Borehole,68.3,50,3,Latrines,5951,No,Yes,0.5,6.4,93.9
Eastern Rwanda,Rwanda,Eastern Community 388,3899,Well,12.5,49,2,Toilets,4581,Yes,No,5.8,8.9,78.3
Dar es Salaam,Tanzania,Dar Community 389,14367,River,30.9,26,8,Latrines,36505,Yes,Yes,9.8,1.0,60.8
Dar es Salaam,Tanzania,Dar Community 390,7754,River,79.7,37,9,Toilets,38297,Yes,No,6.2,27.0,90.4
Western Kenya,Kenya,Western Community 391,11620,Well,29.7,27,8,Latrines,28172,No,Yes,7.1,11.3,89.8
Southern Zambia,Zambia,Southern Community 392,9900,Well,26.2,6,8,Latrines,12210,No,No,3.3,14.4,56.2
Eastern Ethiopia,Ethiopia,Eastern Community 393,14907,Well,40.5,26,5,Latrines,3292,Yes,No,7.0,24.3,62.8
Northern Ghana,Ghana,Northern Community 394,9131,Well,95.5,18,0,Latrines,10735,No,No,8.8,29.0,64.9
Southern Zambia,Zambia,Southern Community 395,7657,Well,51.8,25,10,Latrines,22589,Yes,No,1.3,28.0,93.1
Southern Zambia,Zambia,Southern Community 396,6462,River,47.5,19,7,Toilets,46808,Yes,Yes,4.8,8.9,86.3
Western Uganda,Uganda,Western Community 397,7116,River,90.9,24,1,Toilets,30977,Yes,No,1.3,24.0,76.1
Eastern Nigeria,Nigeria,Eastern Community 398,13232,Well,74.5,26,3,Latrines,37870,No,Yes,3.0,10.6,75.0
Northern Malawi,Malawi,Northern Community 399,12088,River,17.1,23,5,Latrines,33819,No,Yes,4.6,24.1,88.6
Western Kenya,Kenya,Western Community 400,11426,Well,81.8,50,4,Toilets,19076,No,No,3.2,23.4,62.9
Eastern Ethiopia,Ethiopia,Eastern Community 401,6617,Well,33.8,50,10,Latrines,34033,Yes,No,2.5,0.1,75.2
Eastern Nigeria,Nigeria,Eastern Community 402,12110,Well,98.7,6,8,Toilets,31586,No,Yes,7.9,29.2,85.1
Western Uganda,Uganda,Western Community 403,1048,Well,70.7,32,2,Latrines,32298,No,No,0.6,9.5,72.6
Western Kenya,Kenya,Western Community 404,13943,River,75.0,29,2,Toilets,14533,No,No,7.0,25.4,77.1
Eastern Rwanda,Rwanda,Eastern Community 405,5819,Borehole,81.4,28,3,Toilets,41567,Yes,Yes,4.0,0.0,88.6
Northern Ghana,Ghana,Northern Community 406,909,Borehole,89.1,16,4,Toilets,48501,Yes,Yes,4.7,25.4,76.3
Northern Malawi,Malawi,Northern Community 407,6800,River,82.4,19,5,Latrines,23488,Yes,Yes,8.9,16.6,72.3
Eastern Nigeria,Nigeria,Eastern Community 408,8120,River,91.5,27,2,Latrines,22907,No,No,6.9,11.6,83.7
Southern Zambia,Zambia,Southern Community 409,14104,River,25.3,36,3,Toilets,14327,Yes,No,9.1,19.8,74.1
Eastern Ethiopia,Ethiopia,Eastern Community 410,1910,River,84.1,36,5,Latrines,9686,Yes,Yes,7.9,14.0,74.1
Western Kenya,Kenya,Western Community 411,566,Borehole,31.7,27,4,Toilets,14547,No,No,9.6,15.9,65.1
Dar es Salaam,Tanzania,Dar Community 412,6447,River,44.4,26,9,Toilets,9904,Yes,Yes,5.6,15.9,94.0
Eastern Ethiopia,Ethiopia,Eastern Community 413,1215,River,62.5,20,4,Latrines,43023,Yes,Yes,2.6,29.6,71.8
Eastern Nigeria,Nigeria,Eastern Community 414,7553,Well,43.8,38,10,Toilets,45644,Yes,No,9.8,2.0,67.0
Northern Malawi,Malawi,Northern Community 415,9077,Borehole,74.5,50,2,Toilets,46642,Yes,No,4.5,27.1,72.9
Eastern Ethiopia,Ethiopia,Eastern Community 416,721,Well,43.3,5,10,Toilets,48701,No,No,3.6,27.5,74.7
Dar es Salaam,Tanzania,Dar Community 417,4598,Well,59.5,46,7,Toilets,30070,No,Yes,7.1,22.5,79.7
Western Kenya,Kenya,Western Community 418,6209,River,65.1,50,5,Latrines,47050,No,Yes,6.7,25.8,88.3
Eastern Ethiopia,Ethiopia,Eastern Community 419,7470,River,29.2,48,4,Toilets,49184,Yes,Yes,8.5,4.4,66.7
Dar es Salaam,Tanzania,Dar Community 420,551,Well,13.6,23,6,Toilets,21709,Yes,No,0.7,14.7,79.4
Western Kenya,Kenya,Western Community 421,6950,Borehole,83.8,37,0,Toilets,14064,No,Yes,2.8,3.0,83.8
Eastern Rwanda,Rwanda,Eastern Community 422,5167,River,85.9,21,9,Latrines,3850,Yes,No,5.7,27.3,94.2
Eastern Rwanda,Rwanda,Eastern Community 423,10057,Well,92.7,31,8,Toilets,45939,No,No,5.9,5.7,74.9
Eastern Rwanda,Rwanda,Eastern Community 424,1960,River,32.7,49,2,Toilets,26529,No,Yes,9.2,17.6,66.9
Eastern Ethiopia,Ethiopia,Eastern Community 425,1440,River,23.1,44,4,Toilets,29112,No,No,7.0,27.8,83.9
Western Kenya,Kenya,Western Community 426,10602,Borehole,86.0,36,8,Toilets,3249,Yes,Yes,1.5,25.5,90.2
Dar es Salaam,Tanzania,Dar Community 427,8805,River,94.9,15,2,Toilets,13523,Yes,Yes,3.3,18.8,88.0
Eastern Rwanda,Rwanda,Eastern Community 428,8933,River,65.8,38,7,Toilets,49266,Yes,Yes,6.5,4.9,90.1
Central Senegal,Senegal,Central Community 429,8031,River,65.2,16,10,Toilets,37982,Yes,No,5.9,8.3,68.3
Central Senegal,Senegal,Central Community 430,2252,Well,97.6,47,7,Toilets,29608,No,No,8.8,24.9,59.4
Western Kenya,Kenya,Western Community 431,3613,Borehole,12.0,12,5,Latrines,30328,Yes,Yes,5.6,23.9,77.9
Dar es Salaam,Tanzania,Dar Community 432,5693,River,99.0,42,10,Toilets,22238,Yes,No,3.1,23.7,81.3
Central Senegal,Senegal,Central Community 433,9331,Borehole,23.1,4,5,Latrines,48078,No,No,1.3,11.7,94.6
Eastern Nigeria,Nigeria,Eastern Community 434,3958,Well,21.5,26,6,Latrines,16813,No,Yes,6.9,29.7,57.8
Eastern Nigeria,Nigeria,Eastern Community 435,9972,Borehole,71.4,8,4,Toilets,22707,Yes,Yes,7.8,8.7,92.0
Eastern Ethiopia,Ethiopia,Eastern Community 436,5530,River,85.5,42,8,Latrines,19863,No,No,7.9,17.2,87.8
Northern Ghana,Ghana,Northern Community 437,11266,River,69.8,13,2,Latrines,20542,No,No,3.5,20.3,76.1
Eastern Nigeria,Nigeria,Eastern Community 438,7396,River,22.1,50,9,Toilets,40822,No,No,8.5,20.2,73.4
Northern Ghana,Ghana,Northern Community 439,2009,River,65.0,25,6,Toilets,21721,Yes,Yes,4.4,8.2,62.9
Eastern Ethiopia,Ethiopia,Eastern Community 440,7510,Well,64.9,49,2,Toilets,27773,No,No,7.3,14.3,87.2
Eastern Ethiopia,Ethiopia,Eastern Community 441,2399,River,35.2,23,1,Toilets,43560,Yes,Yes,3.6,11.7,76.8
